Data,Último,Abertura,Máxima,Mínima,Var%
02.02.2012,6.1,6.1,6.1,6.1,0.33
03.02.2012,5.96,5.96,5.96,5.96,-2.3
04.02.2012,5.87,5.87,5.87,5.87,-1.51
05.02.2012,5.69,5.69,5.69,5.69,-3.07
06.02.2012,5.45,5.45,5.45,5.45,-4.22
07.02.2012,5.69,5.69,5.69,5.69,4.4
08.02.2012,5.6,5.6,5.6,5.6,-1.58
09.02.2012,5.83,5.83,5.83,5.83,4.11
10.02.2012,5.91,5.91,5.91,5.91,1.37
11.02.2012,5.6,5.6,5.6,5.6,-5.25
12.02.2012,5.51,5.51,5.51,5.51,-1.61
13.02.2012,5.26,5.26,5.26,5.26,-4.54
14.02.2012,4.46,4.46,4.46,4.46,-15.21
15.02.2012,4.33,4.33,4.33,4.33,-2.91
16.02.2012,4.27,4.27,4.27,4.27,-1.39
17.02.2012,4.41,4.41,4.41,4.41,3.28
18.02.2012,4.22,4.22,4.22,4.22,-4.31
19.02.2012,4.39,4.39,4.39,4.39,4.03
20.02.2012,4.36,4.36,4.36,4.36,-0.68
21.02.2012,4.27,4.27,4.27,4.27,-2.06
22.02.2012,4.42,4.42,4.42,4.42,3.51
23.02.2012,5.01,5.01,5.01,5.01,13.35
24.02.2012,5.03,5.03,5.03,5.03,0.4
25.02.2012,4.77,4.77,4.77,4.77,-5.17
26.02.2012,4.92,4.92,4.92,4.92,3.14
27.02.2012,4.96,4.96,4.96,4.96,0.81
28.02.2012,4.87,4.87,4.87,4.87,-1.81
29.02.2012,4.86,4.86,4.86,4.86,-0.21
01.03.2012,4.92,4.92,4.92,4.92,1.23
02.03.2012,4.7,4.7,4.7,4.7,-4.47
03.03.2012,4.61,4.61,4.61,4.61,-1.91
04.03.2012,4.82,4.82,4.82,4.82,4.56
05.03.2012,4.98,4.98,4.98,4.98,3.32
06.03.2012,4.99,4.99,4.99,4.99,0.2
07.03.2012,4.94,4.94,4.94,4.94,-1
08.03.2012,4.93,4.93,4.93,4.93,-0.2
09.03.2012,4.86,4.86,4.86,4.86,-1.42
10.03.2012,4.83,4.83,4.83,4.83,-0.62
11.03.2012,4.91,4.91,4.91,4.91,1.66
12.03.2012,4.89,4.89,4.89,4.89,-0.41
13.03.2012,5.27,5.27,5.27,5.27,7.77
14.03.2012,5.38,5.38,5.38,5.38,2.09
15.03.2012,5.33,5.33,5.33,5.33,-0.93
16.03.2012,5.34,5.34,5.34,5.34,0.19
17.03.2012,5.22,5.22,5.22,5.22,-2.25
18.03.2012,5.28,5.28,5.28,5.28,1.15
19.03.2012,4.69,4.69,4.69,4.69,-11.17
20.03.2012,4.84,4.84,4.84,4.84,3.2
21.03.2012,4.81,4.81,4.81,4.81,-0.62
22.03.2012,4.7,4.7,4.7,4.7,-2.29
23.03.2012,4.69,4.69,4.69,4.69,-0.21
24.03.2012,4.68,4.68,4.68,4.68,-0.21
25.03.2012,4.55,4.55,4.55,4.55,-2.78
26.03.2012,4.62,4.62,4.62,4.62,1.54
27.03.2012,4.81,4.81,4.81,4.81,4.11
28.03.2012,4.79,4.79,4.79,4.79,-0.42
29.03.2012,4.81,4.81,4.81,4.81,0.42
30.03.2012,4.86,4.86,4.86,4.86,1.04
31.03.2012,4.91,4.91,4.91,4.91,1.03
01.04.2012,4.83,4.83,4.83,4.83,-1.63
02.04.2012,4.97,4.97,4.97,4.97,2.9
03.04.2012,4.95,4.95,4.95,4.95,-0.4
04.04.2012,4.91,4.91,4.91,4.91,-0.81
05.04.2012,4.92,4.92,4.92,4.92,0.2
06.04.2012,4.95,4.95,4.95,4.95,0.61
07.04.2012,4.69,4.69,4.69,4.69,-5.25
08.04.2012,4.79,4.79,4.79,4.79,2.13
09.04.2012,4.87,4.87,4.87,4.87,1.67
10.04.2012,4.84,4.84,4.84,4.84,-0.62
11.04.2012,4.93,4.93,4.93,4.93,1.86
12.04.2012,4.92,4.92,4.92,4.92,-0.2
13.04.2012,4.94,4.94,4.94,4.94,0.41
14.04.2012,4.96,4.96,4.96,4.96,0.4
15.04.2012,4.97,4.97,4.97,4.97,0.2
16.04.2012,4.93,4.93,4.93,4.93,-0.8
17.04.2012,4.98,4.98,4.98,4.98,1.01
18.04.2012,5.12,5.12,5.12,5.12,2.81
19.04.2012,5.14,5.14,5.14,5.14,0.39
20.04.2012,5.35,5.35,5.35,5.35,4.09
21.04.2012,5.26,5.26,5.26,5.26,-1.68
22.04.2012,5.2,5.2,5.2,5.2,-1.14
23.04.2012,4.96,4.96,4.96,4.96,-4.62
24.04.2012,5.1,5.1,5.1,5.1,2.82
25.04.2012,5.13,5.13,5.13,5.13,0.59
26.04.2012,5.1,5.1,5.1,5.1,-0.58
27.04.2012,5.11,5.11,5.11,5.11,0.2
28.04.2012,4.98,4.98,4.98,4.98,-2.54
29.04.2012,4.9,4.9,4.9,4.9,-1.61
30.04.2012,4.95,4.95,4.95,4.95,1.02
01.05.2012,5,5,5,5,1.01
02.05.2012,5.07,5.07,5.07,5.07,1.4
03.05.2012,5.13,5.13,5.13,5.13,1.18
04.05.2012,5.07,5.07,5.07,5.07,-1.17
05.05.2012,5.08,5.08,5.08,5.08,0.2
