Data,Fechamento,Abertura,Maxima,Minima,Var%
03.01.2007,1416.6,1418.03,1429.42,1407.86,-0.12
04.01.2007,1418.34,1416.6,1421.84,1408.43,0.12
05.01.2007,1409.71,1418.34,1418.34,1405.75,-0.61
08.01.2007,1412.84,1409.26,1414.98,1403.97,0.22
09.01.2007,1412.11,1412.84,1415.61,1405.42,-0.05
10.01.2007,1414.85,1408.7,1415.99,1405.32,0.19
11.01.2007,1423.82,1414.84,1427.12,1414.84,0.63
12.01.2007,1430.73,1423.82,1431.23,1422.58,0.49
16.01.2007,1431.9,1430.73,1433.93,1428.62,0.08
17.01.2007,1430.62,1431.77,1435.27,1428.57,-0.09
18.01.2007,1426.37,1430.59,1432.96,1424.21,-0.3
19.01.2007,1430.5,1426.35,1431.57,1425.19,0.29
22.01.2007,1422.95,1430.47,1431.39,1420.4,-0.53
23.01.2007,1427.99,1422.95,1431.33,1421.66,0.35
24.01.2007,1440.13,1427.96,1440.14,1427.96,0.85
25.01.2007,1423.9,1440.12,1440.69,1422.34,-1.13
26.01.2007,1422.18,1423.9,1427.27,1416.96,-0.12
29.01.2007,1420.62,1422.03,1426.94,1418.46,-0.11
30.01.2007,1428.82,1420.61,1428.82,1420.61,0.58
31.01.2007,1438.24,1428.65,1441.61,1424.78,0.66
01.02.2007,1445.94,1437.9,1446.64,1437.9,0.54
02.02.2007,1448.39,1445.94,1449.33,1444.49,0.17
05.02.2007,1446.99,1448.33,1449.38,1443.85,-0.1
06.02.2007,1448,1446.98,1450.19,1443.4,0.07
07.02.2007,1450.02,1447.41,1452.99,1446.44,0.14
08.02.2007,1448.31,1449.99,1450.45,1442.81,-0.12
09.02.2007,1438.06,1448.25,1452.45,1433.44,-0.71
12.02.2007,1433.37,1438,1439.11,1431.44,-0.33
13.02.2007,1444.26,1433.22,1444.41,1433.22,0.76
14.02.2007,1455.3,1443.91,1457.65,1443.91,0.76
15.02.2007,1456.81,1455.15,1457.97,1453.19,0.1
16.02.2007,1455.54,1456.77,1456.77,1451.57,-0.09
20.02.2007,1459.68,1455.53,1460.53,1449.2,0.28
21.02.2007,1457.63,1459.6,1459.6,1452.02,-0.14
22.02.2007,1456.38,1457.29,1461.57,1450.51,-0.09
23.02.2007,1451.19,1456.22,1456.22,1448.36,-0.36
26.02.2007,1449.37,1451.04,1456.95,1445.48,-0.13
27.02.2007,1399.04,1449.25,1449.25,1389.42,-3.47
28.02.2007,1406.82,1398.64,1415.89,1396.65,0.56
01.03.2007,1403.17,1406.8,1409.46,1380.87,-0.26
02.03.2007,1387.17,1403.16,1403.4,1386.87,-1.14
05.03.2007,1374.12,1387.11,1391.86,1373.97,-0.94
06.03.2007,1395.41,1374.06,1397.9,1374.06,1.55
07.03.2007,1391.97,1395.02,1401.16,1390.64,-0.25
08.03.2007,1401.89,1391.88,1407.93,1391.88,0.71
09.03.2007,1402.84,1401.89,1410.15,1397.3,0.07
12.03.2007,1406.6,1402.8,1409.34,1398.4,0.27
13.03.2007,1377.95,1406.23,1406.23,1377.71,-2.04
14.03.2007,1387.17,1377.86,1388.09,1363.98,0.67
15.03.2007,1392.28,1387.11,1395.73,1385.16,0.37
16.03.2007,1386.95,1392.28,1397.51,1383.63,-0.38
19.03.2007,1402.06,1386.95,1403.2,1386.95,1.09
20.03.2007,1410.94,1402.04,1411.53,1400.7,0.63
21.03.2007,1435.04,1410.92,1437.77,1409.75,1.71
22.03.2007,1434.54,1435.04,1437.66,1429.88,-0.03
23.03.2007,1436.11,1434.54,1438.89,1433.21,0.11
26.03.2007,1437.5,1436.11,1437.65,1423.28,0.1
27.03.2007,1428.61,1437.49,1437.49,1425.54,-0.62
28.03.2007,1417.23,1428.35,1428.35,1414.07,-0.8
29.03.2007,1422.53,1417.17,1426.24,1413.27,0.37
30.03.2007,1420.86,1422.52,1429.22,1408.9,-0.12
02.04.2007,1424.55,1420.83,1425.49,1416.37,0.26
03.04.2007,1437.77,1424.27,1440.57,1424.27,0.93
04.04.2007,1439.37,1437.75,1440.16,1435.08,0.11
05.04.2007,1443.76,1438.94,1444.88,1436.67,0.3
09.04.2007,1444.61,1443.77,1448.1,1443.28,0.06
10.04.2007,1448.39,1444.58,1448.73,1443.99,0.26
11.04.2007,1438.87,1448.23,1448.39,1436.15,-0.66
12.04.2007,1447.8,1438.87,1448.02,1433.91,0.62
13.04.2007,1452.85,1447.8,1453.11,1444.15,0.35
16.04.2007,1468.33,1452.84,1468.62,1452.84,1.07
17.04.2007,1471.48,1468.47,1474.35,1467.15,0.21
18.04.2007,1472.5,1471.47,1476.57,1466.41,0.07
19.04.2007,1470.73,1472.48,1474.23,1464.47,-0.12
20.04.2007,1484.35,1470.69,1484.74,1470.69,0.93
23.04.2007,1480.93,1484.33,1487.32,1480.19,-0.23
24.04.2007,1480.41,1480.93,1483.82,1473.74,-0.04
25.04.2007,1495.42,1480.28,1496.59,1480.28,1.01
26.04.2007,1494.25,1495.27,1498.02,1491.17,-0.08
27.04.2007,1494.07,1494.21,1497.32,1488.67,-0.01
30.04.2007,1482.37,1494.07,1497.16,1482.29,-0.78
01.05.2007,1486.3,1482.37,1487.27,1476.7,0.27
02.05.2007,1495.92,1486.13,1499.1,1486.13,0.65
03.05.2007,1502.39,1495.56,1503.34,1495.56,0.43
04.05.2007,1505.62,1502.35,1510.34,1501.8,0.21
07.05.2007,1509.48,1505.57,1511,1505.54,0.26
08.05.2007,1507.72,1509.36,1509.36,1500.66,-0.12
09.05.2007,1512.58,1507.32,1513.8,1503.77,0.32
10.05.2007,1491.47,1512.33,1512.33,1491.42,-1.4
11.05.2007,1505.85,1491.47,1506.24,1491.47,0.96
14.05.2007,1503.15,1505.76,1510.9,1498.34,-0.18
15.05.2007,1501.19,1503.11,1514.83,1500.43,-0.13
16.05.2007,1514.14,1500.75,1514.15,1500.75,0.86
17.05.2007,1512.75,1514.01,1517.14,1509.29,-0.09
18.05.2007,1522.75,1512.74,1522.75,1512.74,0.66
21.05.2007,1525.1,1522.75,1529.87,1522.71,0.15
22.05.2007,1524.12,1525.1,1529.24,1522.05,-0.06
23.05.2007,1522.28,1524.09,1532.43,1521.9,-0.12
24.05.2007,1507.51,1522.1,1529.31,1505.18,-0.97
25.05.2007,1515.73,1507.5,1517.41,1507.5,0.55
29.05.2007,1518.11,1515.55,1521.8,1512.02,0.16
30.05.2007,1530.23,1517.6,1530.23,1510.06,0.8
31.05.2007,1530.62,1530.19,1535.56,1528.26,0.03
01.06.2007,1536.34,1530.62,1540.56,1530.62,0.37
04.06.2007,1539.18,1536.28,1540.53,1532.31,0.18
05.06.2007,1530.95,1539.12,1539.12,1525.62,-0.53
06.06.2007,1517.38,1530.57,1530.57,1514.13,-0.89
07.06.2007,1490.72,1517.36,1517.36,1490.37,-1.76
08.06.2007,1507.67,1490.71,1507.76,1487.41,1.14
11.06.2007,1509.12,1507.64,1515.53,1503.35,0.1
12.06.2007,1493,1509.12,1511.33,1492.97,-1.07
13.06.2007,1515.67,1492.65,1515.7,1492.65,1.52
14.06.2007,1522.97,1515.58,1526.45,1515.58,0.48
15.06.2007,1532.91,1522.97,1538.71,1522.97,0.65
18.06.2007,1531.05,1532.9,1535.44,1529.31,-0.12
19.06.2007,1533.7,1531.02,1535.85,1525.67,0.17
20.06.2007,1512.84,1533.68,1537.32,1512.36,-1.36
21.06.2007,1522.19,1512.5,1522.9,1504.75,0.62
