Data,Safra,CEF_P,CEF_C,IB_FIC,Unibanco,Paribas,BB_F,BB_A,Western,LeggM
12/26/2003,63.74861,2.46000,1.86000,134.50222,1.30831,135.43000,1.73826,2.68000,1773.80977,1.33386
1/2/2004,63.97162,2.46000,1.86000,134.90140,1.31265,135.77000,1.74414,2.69000,1780.66820,1.33859
1/9/2004,64.34600,2.47000,1.87000,135.58463,1.32026,136.79000,1.75615,2.71000,1802.96297,1.35484
1/16/2004,64.86340,2.49000,1.88000,136.43553,1.33039,139.24000,1.77037,2.74000,1810.17780,1.35971
1/23/2004,64.96211,2.49000,1.88000,136.67443,1.33354,139.46000,1.77627,2.75000,1812.60315,1.36100
1/30/2004,65.30793,2.50000,1.89000,137.24769,1.33706,139.98000,1.78612,2.76000,1822.55815,1.36787
2/6/2004,65.45209,2.51000,1.89000,137.75104,1.34286,140.29000,1.79313,2.77000,1827.32211,1.37089
2/13/2004,65.60329,2.52000,1.91000,138.05787,1.34765,140.69000,1.79792,2.78000,1831.87031,1.37374
2/20/2004,65.75004,2.53000,1.91000,138.39747,1.35105,141.14000,1.80304,2.79000,1832.06579,1.37333
2/27/2004,65.92665,2.54000,1.92000,138.81127,1.35410,141.53000,1.80922,2.80000,1837.14050,1.37680
3/5/2004,66.03251,2.54000,1.92000,139.17276,1.35675,141.32000,1.81252,2.80000,1846.78949,1.38348
3/12/2004,66.35334,2.55000,1.93000,139.82775,1.36296,142.48000,1.82227,2.82000,1857.68070,1.39108
3/19/2004,66.61012,2.56000,1.94000,140.39949,1.36796,142.85000,1.82952,2.83000,1868.42210,1.39856
3/26/2004,66.93156,2.57000,1.94000,140.95318,1.37408,143.34000,1.84020,2.85000,1876.90015,1.40434
4/2/2004,67.20285,2.58000,1.95000,141.73046,1.37977,143.78000,1.84905,2.86000,1887.99844,1.41209
4/8/2004,67.39985,2.59000,1.95000,142.12004,1.38439,144.11000,1.85522,2.87000,1895.53517,1.41727
4/16/2004,67.65733,2.59000,1.96000,142.56798,1.38985,144.43000,1.86356,2.89000,1903.44400,1.42261
4/23/2004,68.16722,2.60000,1.97000,143.67121,1.39879,144.92000,1.87677,2.91000,1919.82907,1.43440
4/30/2004,68.45271,2.61000,1.98000,144.05620,1.40312,145.17000,1.88565,2.92000,1918.24263,1.43264
5/7/2004,68.56447,2.61000,1.98000,144.49363,1.40590,145.00000,1.88932,2.93000,1932.10068,1.44242
5/14/2004,68.99868,2.62000,1.99000,145.52168,1.41275,145.36000,1.90140,2.95000,1940.79069,1.44833
5/21/2004,69.38455,2.64000,2.00000,146.32589,1.42127,145.03000,1.91287,2.97000,1960.33327,1.46232
5/28/2004,70.27040,2.65000,2.02000,147.68708,1.43470,145.82000,1.93681,3.00000,1974.26833,1.47213
6/4/2004,70.54712,2.66000,2.02000,148.39426,1.44014,146.23000,1.94481,3.01000,1981.23767,1.47675
6/11/2004,70.89644,2.68000,2.03000,149.11281,1.44907,146.82000,1.95503,3.03000,1994.01233,1.48579
6/18/2004,71.29388,2.69000,2.04000,149.95303,1.45599,147.57000,1.96751,3.05000,2007.47371,1.49523
6/25/2004,71.56825,2.70000,2.05000,150.35876,1.46150,148.12000,1.97704,3.07000,2011.88682,1.49792
7/2/2004,71.39355,2.71000,2.05000,149.76954,1.46015,148.70000,1.97221,3.07000,2016.48121,1.50074
7/9/2004,71.62487,2.72000,2.06000,150.34126,1.46637,149.61000,1.98207,3.09000,2029.89392,1.51012
7/16/2004,71.77937,2.73000,2.06000,150.55311,1.46939,149.91000,1.98704,3.10000,2029.91981,1.50954
7/23/2004,72.06255,2.74000,2.07000,151.37593,1.47657,150.55000,1.99819,3.12000,2041.55305,1.51758
