Date,Open,High,Low,Close,Volume,Adj Close
1/3/2000,17098,17408,16719,16930,0,16930
1/4/2000,16908,16908,15851,15851,0,15851
1/5/2000,15871,16302,15350,16245,0,16245
1/6/2000,16237,16499,15977,16107,0,16107
1/7/2000,16125,16449,16125,16309,0,16309
1/10/2000,16325,17057,16325,17022,0,17022
1/11/2000,17045,17197,16573,16573,0,16573
1/12/2000,16574,16724,16331,16617,0,16617
1/13/2000,16663,17715,16663,17298,0,17298
1/14/2000,17306,17800,17306,17658,0,17658
1/17/2000,17678,18099,17678,18053,0,18053
1/18/2000,18062,18062,17625,17903,0,17903
1/19/2000,17905,18075,17470,17470,0,17470
1/20/2000,17487,17622,17029,17177,0,17177
1/21/2000,17188,17372,16901,17034,0,17034
1/24/2000,17049,17263,16972,16972,0,16972
1/26/2000,16972,17105,16727,17105,0,17105
1/27/2000,17114,17422,17081,17081,0,17081
1/28/2000,17150,17252,16547,16734,0,16734
1/31/2000,16744,16749,16167,16388,0,16388
2/1/2000,16389,16675,16389,16522,0,16522
2/2/2000,16546,16875,16546,16868,0,16868
2/3/2000,16892,17457,16892,17457,0,17457
2/4/2000,17471,17962,17471,17932,0,17932
2/7/2000,17937,18126,17746,18126,0,18126
2/8/2000,18249,18729,18249,18686,0,18686
2/9/2000,18759,18886,18224,18361,0,18361
2/10/2000,18367,18672,18155,18604,0,18604
2/11/2000,18635,18775,18027,18083,0,18083
2/14/2000,18083,18264,17746,17819,0,17819
2/15/2000,17818,17932,17451,17921,0,17921
2/16/2000,17921,18247,17743,18112,0,18112
2/17/2000,18116,18297,17979,17979,0,17979
2/18/2000,17979,18008,17489,17625,0,17625
2/21/2000,17626,17887,17364,17700,0,17700
2/22/2000,17698,17913,17466,17489,0,17489
2/23/2000,17489,17855,17479,17833,0,17833
2/24/2000,17846,18119,17706,17776,0,17776
2/25/2000,17784,17988,17758,17787,0,17787
2/28/2000,17787,17787,17383,17543,0,17543
2/29/2000,17545,17818,17545,17660,0,17660
3/1/2000,17668,17953,17655,17953,0,17953
3/2/2000,17966,18154,17809,18016,0,18016
3/3/2000,18016,18632,18016,18632,0,18632
3/8/2000,18617,18617,18184,18283,0,18283
3/9/2000,18285,18650,18285,18650,0,18650
3/10/2000,18650,18720,18233,18280,0,18280
3/13/2000,18279,18279,17506,17595,0,17595
3/14/2000,17595,17941,17222,17222,0,17222
3/15/2000,17229,17469,16922,17382,0,17382
3/16/2000,17397,17661,17397,17642,0,17642
3/17/2000,17654,17733,17470,17511,0,17511
3/20/2000,17511,17733,17435,17526,0,17526
3/21/2000,17528,18343,17510,18343,0,18343
3/22/2000,18346,18860,18314,18314,0,18314
3/23/2000,18314,18644,18183,18331,0,18331
3/24/2000,18332,18692,18332,18675,0,18675
3/27/2000,18675,19047,18533,18951,0,18951
3/28/2000,18952,18960,18335,18338,0,18338
3/29/2000,18339,18575,17973,18053,0,18053
3/30/2000,18053,18053,17455,17647,0,17647
3/31/2000,17660,17950,17560,17820,0,17820
4/3/2000,17826,17826,17173,17245,0,17245
4/4/2000,17253,17450,16095,16758,0,16758
4/5/2000,16762,17043,16230,16714,0,16714
4/6/2000,16719,17152,16719,17146,0,17146
4/7/2000,17150,17514,17150,17514,0,17514
4/10/2000,17519,17572,16782,16783,0,16783
4/11/2000,16787,16867,16309,16539,0,16539
4/12/2000,16542,16785,16311,16323,0,16323
4/13/2000,16325,16605,15501,15501,0,15501
4/14/2000,15501,15501,14596,14794,0,14794
4/17/2000,14761,14821,14029,14816,0,14816
4/18/2000,14817,15469,14767,15408,0,15408
4/19/2000,15438,15536,14850,14926,0,14926
4/20/2000,14938,15204,14938,15203,0,15203
4/24/2000,15204,15225,14625,14794,0,14794
4/25/2000,14798,15403,14798,15401,0,15401
4/26/2000,15401,15517,15268,15446,0,15446
4/27/2000,15446,15487,14835,15440,0,15440
4/28/2000,15450,15907,15450,15538,0,15538
5/2/2000,15596,15944,15523,15524,0,15524
5/3/2000,15525,15525,14980,15109,0,15109
5/4/2000,15111,15144,14873,14970,0,14970
5/5/2000,14967,15218,14811,15218,0,15218
5/8/2000,15220,15223,14867,14891,0,14891
5/9/2000,14897,15041,14412,14582,0,14582
5/10/2000,14570,14586,14238,14434,0,14434
5/11/2000,14447,14723,14398,14499,0,14499
5/12/2000,14496,14638,14350,14459,0,14459
5/15/2000,14469,15070,14397,15056,0,15056
5/16/2000,15074,15445,15074,15360,0,15360
5/17/2000,15361,15361,14856,14871,0,14871
5/18/2000,14876,14973,14620,14627,0,14627
5/19/2000,14594,14619,13920,14327,0,14327
5/22/2000,14330,14369,13583,13891,0,13891
5/23/2000,13891,14145,13583,13587,0,13587
5/24/2000,13592,14197,13556,14166,0,14166
5/25/2000,14187,14499,14027,14186,0,14186
5/26/2000,14204,14549,14172,14542,0,14542
5/29/2000,14541,14858,14541,14773,0,14773
5/30/2000,14815,15308,14815,15249,0,15249
5/31/2000,15251,15328,14931,14957,0,14957
6/1/2000,14967,15473,14967,15450,0,15450
6/2/2000,15518,16261,15518,16222,0,16222
6/5/2000,16222,16312,15975,16023,0,16023
6/6/2000,16018,16173,15827,15947,0,15947
6/7/2000,15955,16278,15709,16272,0,16272
6/8/2000,16286,16640,16227,16399,0,16399
6/9/2000,16421,16561,16200,16342,0,16342
6/12/2000,16351,16365,16084,16097,0,16097
6/13/2000,16100,16360,16075,16354,0,16354
6/14/2000,16365,16523,16135,16366,0,16366
6/15/2000,16369,16630,16325,16561,0,16561
6/16/2000,16567,16598,16379,16425,0,16425
6/19/2000,16423,16863,16411,16850,0,16850
6/20/2000,16854,16952,16708,16844,0,16844
6/21/2000,16854,17396,16834,17254,0,17254
6/23/2000,16977,17266,16910,16977,0,16977
6/26/2000,16977,17019,16685,16745,0,16745
6/27/2000,16743,16780,16388,16512,0,16512
6/28/2000,16532,17101,16493,16842,0,16842
6/29/2000,16830,16850,16329,16407,0,16407
6/30/2000,16404,16836,16400,16728,0,16728
7/3/2000,16747,17099,16743,17089,0,17089
7/4/2000,17106,17340,17088,17279,0,17279
7/5/2000,17285,17362,17086,17135,0,17135
7/6/2000,17148,17366,17024,17348,0,17348
7/7/2000,17352,17754,17352,17599,0,17599
7/10/2000,17620,17795,17444,17472,0,17472
7/11/2000,17473,17473,16827,16881,0,16881
7/12/2000,16893,17176,16693,17053,0,17053
7/13/2000,17057,17383,16416,16444,0,16444
7/14/2000,16439,16885,16390,16881,0,16881
7/17/2000,16890,17395,16890,17388,0,17388
7/18/2000,17379,17566,17281,17369,0,17369
7/19/2000,17354,17358,16868,16928,0,16928
7/20/2000,16951,17353,16951,17204,0,17204
7/21/2000,17207,17365,17071,17318,0,17318
7/24/2000,17314,17588,17314,17386,0,17386
7/25/2000,17390,17530,17046,17049,0,17049
7/26/2000,17049,17211,16840,17121,0,17121
7/27/2000,17121,17225,16923,16949,0,16949
7/28/2000,16949,17039,16448,16486,0,16486
7/31/2000,16487,16713,16455,16455,0,16455
8/1/2000,16475,16591,16127,16290,0,16290
8/2/2000,16284,16535,16121,16314,0,16314
8/3/2000,16248,16761,16073,16721,0,16721
8/4/2000,16727,16907,16716,16761,0,16761
8/7/2000,16772,17014,16769,16996,0,16996
8/8/2000,17005,17062,16858,16885,0,16885
8/9/2000,16894,16977,16511,16534,0,16534
8/10/2000,16519,17023,16501,16835,0,16835
8/11/2000,16846,17395,16705,17395,0,17395
8/14/2000,17402,17926,17334,17811,0,17811
8/15/2000,17811,17910,17690,17744,0,17744
8/16/2000,17741,17771,17275,17331,0,17331
8/17/2000,17326,17858,17321,17703,0,17703
8/18/2000,17703,17780,17258,17314,0,17314
8/21/2000,17317,17420,17066,17083,0,17083
8/22/2000,17086,17428,17086,17224,0,17224
8/23/2000,17253,17455,17137,17450,0,17450
8/24/2000,17454,17454,17187,17311,0,17311
8/25/2000,17316,17668,17316,17643,0,17643
8/28/2000,17657,17686,17380,17460,0,17460
8/29/2000,17454,17490,17235,17355,0,17355
8/30/2000,17359,17563,17309,17414,0,17414
8/31/2000,17417,17563,17327,17347,0,17347
9/1/2000,17360,17577,17360,17577,0,17577
9/4/2000,17577,17716,17569,17613,0,17613
9/5/2000,17614,17639,17417,17425,0,17425
9/6/2000,17442,17648,17442,17590,0,17590
9/8/2000,17594,17692,17428,17433,0,17433
9/11/2000,17443,17475,17236,17288,0,17288
9/12/2000,17285,17304,16883,16883,0,16883
9/13/2000,16888,17092,16877,16999,0,16999
9/14/2000,17032,17108,16731,16769,0,16769
9/15/2000,16771,16771,16515,16563,0,16563
9/18/2000,16562,16609,15913,15913,0,15913
9/19/2000,15923,16189,15824,16188,0,16188
9/20/2000,16196,16216,15813,16078,0,16078
9/21/2000,16065,16172,15946,16146,0,16146
9/22/2000,16093,16426,15705,16353,0,16353
9/25/2000,16361,16521,16318,16319,0,16319
9/26/2000,16319,16468,16196,16255,0,16255
9/27/2000,16289,16404,15745,15848,0,15848
9/28/2000,15849,16041,15657,16014,0,16014
9/29/2000,16020,16135,15821,15928,0,15928
10/2/2000,15950,16090,15537,15559,0,15559
10/3/2000,15562,15917,15562,15633,0,15633
10/4/2000,15653,15883,15651,15876,0,15876
10/5/2000,15876,16398,15876,16362,0,16362
10/6/2000,16370,16404,15817,15946,0,15946
10/9/2000,15946,15975,15617,15855,0,15855
10/10/2000,15846,16008,15726,15747,0,15747
10/11/2000,15738,15738,15463,15526,0,15526
10/13/2000,15441,15441,15067,15385,0,15385
10/16/2000,15387,15585,15214,15242,0,15242
10/17/2000,15267,15386,14841,14870,0,14870
10/18/2000,14837,14837,14218,14421,0,14421
10/19/2000,14490,14869,14490,14845,0,14845
10/20/2000,14846,14918,14490,14529,0,14529
10/23/2000,14533,14535,13982,13990,0,13990
10/24/2000,14014,14161,13672,13799,0,13799
10/25/2000,13796,13927,13571,13665,0,13665
10/26/2000,13705,14223,13679,14223,0,14223
10/27/2000,14251,14700,14251,14692,0,14692
10/30/2000,14707,14951,14489,14891,0,14891
10/31/2000,14916,15099,14859,14867,0,14867
11/1/2000,14858,14859,14571,14791,0,14791
11/3/2000,14785,14925,14425,14534,0,14534
11/6/2000,14534,14868,14478,14801,0,14801
11/7/2000,14780,15029,14543,14969,0,14969
11/8/2000,14982,15191,14650,14656,0,14656
11/9/2000,14667,14782,14409,14524,0,14524
11/10/2000,14542,14701,14449,14626,0,14626
11/13/2000,14606,14609,14199,14372,0,14372
11/14/2000,14395,14632,14395,14540,0,14540
11/16/2000,14546,14575,14419,14490,0,14490
11/17/2000,14479,14570,14091,14323,0,14323
11/20/2000,14323,14535,14103,14500,0,14500
11/21/2000,14497,14845,14487,14784,0,14784
11/22/2000,14766,14766,14555,14577,0,14577
11/23/2000,14579,14604,14187,14314,0,14314
11/24/2000,14316,14413,12969,14336,0,14336
11/27/2000,14340,14495,13941,14008,0,14008
11/28/2000,14011,14011,13756,13914,0,13914
11/29/2000,13921,14074,13782,13788,0,13788
11/30/2000,13779,13779,13287,13287,0,13287
12/1/2000,13303,13578,13282,13437,0,13437
12/4/2000,13396,13538,13242,13510,0,13510
12/5/2000,13513,14188,13513,14182,0,14182
12/6/2000,14180,14277,13945,13945,0,13945
12/7/2000,13947,14460,13918,14460,0,14460
12/8/2000,14462,15062,14461,14983,0,14983
12/11/2000,14991,15355,14991,15188,0,15188
12/12/2000,15186,15186,14869,14906,0,14906
12/13/2000,14916,15389,14900,15291,0,15291
12/14/2000,15261,15329,15080,15259,0,15259
12/15/2000,15253,15253,14833,14988,0,14988
12/18/2000,15002,15282,14093,15083,0,15083
12/19/2000,15085,15415,15085,15336,0,15336
12/20/2000,15306,15328,14618,14622,0,14622
12/21/2000,14727,14958,14461,14505,0,14505
12/22/2000,14533,14802,14532,14652,0,14652
12/26/2000,14663,14851,14659,14795,0,14795
12/27/2000,14805,15223,14805,15186,0,15186
12/28/2000,15188,15269,15132,15259,0,15259
1/2/2001,15242,15621,15174,15425,0,15425
1/3/2001,15425,16599,15251,16599,0,16599
1/4/2001,16597,16933,16587,16675,0,16675
1/5/2001,16679,16888,16380,16410,0,16410
1/8/2001,16398,16623,16226,16562,0,16562
1/9/2001,16566,17096,16566,16976,0,16976
1/10/2001,16964,17093,16701,16919,0,16919
1/11/2001,16908,17045,16797,17024,0,17024
1/12/2001,17034,17212,16821,16850,0,16850
1/15/2001,16858,17038,16858,16963,0,16963
1/16/2001,16973,17035,16662,16721,0,16721
1/17/2001,16748,17255,16745,17191,0,17191
1/18/2001,17204,17642,17151,17521,0,17521
1/19/2001,17525,17816,17512,17530,0,17530
1/22/2001,17548,17578,17297,17392,0,17392
1/23/2001,17381,17864,17376,17832,0,17832
1/24/2001,17849,18022,17698,17772,0,17772
1/26/2001,17776,17933,17591,17889,0,17889
1/29/2001,17906,18023,17704,17883,0,17883
1/30/2001,17882,17898,17668,17723,0,17723
1/31/2001,17725,17921,17637,17673,0,17673
2/1/2001,17670,17673,16977,17039,0,17039
2/2/2001,17027,17206,16781,16915,0,16915
2/5/2001,16914,16941,16539,16731,0,16731
2/6/2001,16734,17017,16734,17007,0,17007
2/7/2001,17003,17003,16630,16812,0,16812
2/8/2001,16814,17279,16814,17243,0,17243
2/9/2001,17257,17270,17050,17138,0,17138
2/12/2001,17163,17234,16883,16917,0,16917
2/13/2001,16922,17174,16883,17096,0,17096
2/14/2001,17078,17286,16890,17120,0,17120
2/15/2001,17121,17262,16922,16937,0,16937
2/16/2001,16934,16950,16100,16259,0,16259
2/19/2001,16263,16392,16023,16061,0,16061
2/20/2001,16066,16242,15783,15911,0,15911
2/21/2001,15909,15909,15568,15594,0,15594
2/22/2001,15604,15914,15558,15910,0,15910
2/23/2001,15920,16223,15831,16158,0,16158
2/28/2001,16158,16274,15891,15891,0,15891
3/1/2001,15891,16439,15875,16417,0,16417
3/2/2001,16423,16723,16233,16581,0,16581
3/5/2001,16620,16737,16471,16537,0,16537
3/6/2001,16573,16813,16279,16324,0,16324
3/7/2001,16329,16430,16223,16395,0,16395
3/8/2001,16401,16531,16096,16227,0,16227
3/9/2001,16233,16248,16018,16123,0,16123
3/12/2001,16125,16143,15523,15527,0,15527
3/13/2001,15536,15768,15444,15584,0,15584
3/14/2001,15583,15583,15070,15245,0,15245
3/15/2001,15252,15482,14977,15061,0,15061
3/16/2001,15076,15356,15047,15237,0,15237
3/19/2001,15249,15378,14802,14836,0,14836
3/20/2001,14854,16429,14854,14903,0,14903
3/21/2001,14914,15198,14755,14853,0,14853
3/22/2001,14847,14847,13761,14067,0,14067
3/23/2001,14070,14435,13855,14435,0,14435
3/26/2001,14443,14912,14443,14712,0,14712
3/27/2001,14733,14951,14594,14835,0,14835
3/28/2001,14846,14852,14574,14632,0,14632
3/29/2001,14647,14713,14226,14282,0,14282
3/30/2001,14292,14438,13922,14438,0,14438
4/2/2001,14441,14482,13981,13981,0,13981
4/3/2001,13988,14001,13664,13737,0,13737
4/4/2001,13740,14135,13740,13855,0,13855
4/5/2001,13865,14482,13865,14443,0,14443
4/6/2001,14428,14702,14371,14485,0,14485
4/9/2001,14489,14719,14446,14719,0,14719
4/10/2001,14725,15097,14725,15048,0,15048
4/11/2001,15057,15267,14724,14819,0,14819
4/12/2001,14811,14969,14490,14969,0,14969
4/16/2001,14974,14976,14385,14445,0,14445
4/17/2001,14443,14555,14223,14337,0,14337
4/18/2001,14345,15151,14323,14955,0,14955
4/19/2001,14956,15017,14420,14431,0,14431
4/20/2001,14408,14408,13618,13696,0,13696
4/23/2001,13734,13893,13325,13893,0,13893
4/24/2001,13894,14207,13894,14068,0,14068
4/25/2001,14062,14223,13785,14163,0,14163
