Date,Open,High,Low,Close,Volume,Adj Close
7/3/2000,7,7,7,7,22694400,0.7
7/4/2000,7.15,7.15,7.15,7.15,21155200,0.72
7/5/2000,6.97,6.97,6.97,6.97,40316800,0.7
7/6/2000,6.97,6.97,6.97,6.97,29712000,0.7
7/7/2000,6.71,6.71,6.71,6.71,48684800,0.67
7/10/2000,6.73,6.73,6.73,6.73,26758400,0.68
7/11/2000,6.41,6.41,6.41,6.41,55961600,0.64
7/12/2000,6.31,6.31,6.31,6.31,48240000,0.63
7/13/2000,6.05,6.05,6.05,6.05,28204800,0.61
7/14/2000,6.19,6.19,6.19,6.19,27990400,0.62
7/17/2000,6.19,6.19,6.19,6.19,78153600,0.62
7/18/2000,6.12,6.12,6.12,6.12,37033600,0.62
7/19/2000,6.21,6.21,6.21,6.21,30892800,0.62
7/20/2000,6.55,6.55,6.55,6.55,37116800,0.66
7/21/2000,6.44,6.44,6.44,6.44,53036800,0.65
7/24/2000,6.38,6.38,6.38,6.38,26806400,0.64
7/25/2000,6.04,6.04,6.04,6.04,59932800,0.61
7/26/2000,6.09,6.09,6.09,6.09,39897600,0.61
7/27/2000,6,6,6,6,47590400,0.6
7/28/2000,5.78,5.78,5.78,5.78,36342400,0.58
7/31/2000,5.85,5.85,5.85,5.85,22048000,0.59
8/1/2000,5.69,5.69,5.69,5.69,77788800,0.57
8/2/2000,5.81,5.81,5.81,5.81,66147200,0.58
8/3/2000,5.83,5.83,5.83,5.83,48515200,0.59
8/4/2000,5.81,5.81,5.81,5.81,164937600,0.58
8/7/2000,5.95,5.95,5.95,5.95,69481600,0.6
8/8/2000,5.74,5.74,5.74,5.74,203132800,0.58
8/9/2000,5.63,5.63,5.63,5.63,136963200,0.57
8/10/2000,6.19,6.19,6.19,6.19,218003200,0.62
8/11/2000,6.24,6.24,6.24,6.24,93910400,0.63
8/14/2000,6.22,6.22,6.22,6.22,45708800,0.63
8/15/2000,6.3,6.3,6.3,6.3,48217600,0.63
8/16/2000,6.38,6.38,6.38,6.38,66998400,0.64
8/17/2000,6.62,6.62,6.62,6.62,55654400,0.67
8/18/2000,6.5,6.5,6.5,6.5,43158400,0.65
8/21/2000,6.37,6.37,6.37,6.37,46761600,0.64
8/22/2000,6.44,6.44,6.44,6.44,42275200,0.65
8/23/2000,6.59,6.59,6.59,6.59,54163200,0.66
8/24/2000,6.56,6.56,6.56,6.56,29488000,0.66
8/25/2000,6.69,6.69,6.69,6.69,37667200,0.67
8/28/2000,6.61,6.61,6.61,6.61,29004800,0.67
8/29/2000,6.8,6.8,6.8,6.8,53814400,0.68
8/30/2000,7.06,7.06,7.06,7.06,91404800,0.71
8/31/2000,6.89,6.89,6.89,6.89,49180800,0.69
9/1/2000,6.94,6.94,6.94,6.94,34025600,0.7
9/4/2000,6.89,6.89,6.89,6.89,17913600,0.69
9/5/2000,6.85,6.85,6.85,6.85,28764800,0.69
9/6/2000,7.11,7.11,7.11,7.11,38336000,0.72
9/7/2000,7.11,7.11,7.11,7.11,0,0.72
9/8/2000,7.06,7.06,7.06,7.06,21145600,0.71
9/11/2000,7.2,7.2,7.2,7.2,39068800,0.72
9/12/2000,7.08,7.08,7.08,7.08,34668800,0.71
9/13/2000,7,7,7,7,45532800,0.7
9/14/2000,6.74,6.74,6.74,6.74,39596800,0.68
9/15/2000,6.82,6.82,6.82,6.82,27494400,0.69
9/18/2000,6.62,6.62,6.62,6.62,31660800,0.67
9/19/2000,6.58,6.58,6.58,6.58,43027200,0.66
9/20/2000,6.69,6.69,6.69,6.69,39939200,0.67
9/21/2000,6.51,6.51,6.51,6.51,28496000,0.65
9/22/2000,6.44,6.44,6.44,6.44,39763200,0.65
9/25/2000,6.5,6.5,6.5,6.5,34928000,0.65
9/26/2000,6.66,6.66,6.66,6.66,34464000,0.67
9/27/2000,6.65,6.65,6.65,6.65,62380800,0.67
9/28/2000,6.61,6.61,6.61,6.61,22048000,0.67
9/29/2000,6.55,6.55,6.55,6.55,28652800,0.66
10/2/2000,6.53,6.53,6.53,6.53,24534400,0.66
10/3/2000,6.55,6.55,6.55,6.55,25948800,0.66
10/4/2000,6.62,6.62,6.62,6.62,21932800,0.67
10/5/2000,6.62,6.62,6.62,6.62,0,0.67
10/6/2000,6.47,6.47,6.47,6.47,37315200,0.65
10/9/2000,6.49,6.49,6.49,6.49,26342400,0.65
10/10/2000,6.61,6.61,6.61,6.61,40163200,0.66
10/11/2000,6.62,6.62,6.62,6.62,30969600,0.67
10/12/2000,6.62,6.62,6.62,6.62,0,0.67
10/13/2000,6.7,6.7,6.7,6.7,33702400,0.67
10/16/2000,6.46,6.46,6.46,6.46,61683200,0.65
10/17/2000,6.19,6.19,6.19,6.19,30995200,0.62
10/18/2000,6.25,6.25,6.25,6.25,97750400,0.63
10/19/2000,6.35,6.35,6.35,6.35,55462400,0.64
10/20/2000,6.25,6.25,6.25,6.25,26928000,0.63
10/23/2000,5.99,5.99,5.99,5.99,39004800,0.6
10/24/2000,5.99,5.99,5.99,5.99,0,0.6
10/25/2000,5.72,5.72,5.72,5.72,54582400,0.58
10/26/2000,6.11,6.11,6.11,6.11,48233600,0.61
10/27/2000,6.17,6.17,6.17,6.17,45820800,0.62
10/30/2000,6.34,6.34,6.34,6.34,25900800,0.64
10/31/2000,6.33,6.33,6.33,6.33,44307200,0.64
11/1/2000,6.4,6.4,6.4,6.4,31068800,0.64
11/2/2000,6.4,6.4,6.4,6.4,0,0.64
11/3/2000,6.26,6.26,6.26,6.26,31468800,0.63
11/6/2000,6.4,6.4,6.4,6.4,26361600,0.64
11/7/2000,6.53,6.53,6.53,6.53,33436800,0.66
11/8/2000,6.44,6.44,6.44,6.44,34857600,0.65
11/9/2000,6.25,6.25,6.25,6.25,52691200,0.63
11/10/2000,6.27,6.27,6.27,6.27,33510400,0.63
11/13/2000,6.35,6.35,6.35,6.35,29878400,0.64
11/14/2000,6.35,6.35,6.35,6.35,0,0.64
11/15/2000,6.35,6.35,6.35,6.35,0,0.64
11/16/2000,6.41,6.5,6.36,6.5,23590400,0.65
11/17/2000,6.56,6.57,6.44,6.5,24732800,0.65
11/20/2000,6.38,6.49,6.37,6.45,18204800,0.65
11/21/2000,6.46,6.57,6.45,6.53,29494400,0.66
11/22/2000,6.56,6.61,6.51,6.51,46486400,0.65
11/23/2000,6.5,6.51,6.3,6.38,41798400,0.64
11/24/2000,6.44,6.44,6.25,6.31,25968000,0.63
11/27/2000,6.36,6.37,6.07,6.12,40777600,0.62
11/28/2000,6.07,6.16,6.04,6.05,41145600,0.61
11/29/2000,6.07,6.16,6.04,6.05,37433600,0.61
11/30/2000,6.03,6.06,5.9,5.93,36176000,0.6
12/1/2000,6,6.01,5.88,5.9,21267200,0.59
12/4/2000,5.88,5.94,5.82,5.89,13091200,0.59
12/5/2000,6.06,6.09,5.96,5.99,23529600,0.6
12/6/2000,5.97,6,5.57,5.57,69888000,0.56
12/7/2000,5.63,5.7,5.5,5.64,77657600,0.57
12/8/2000,5.71,5.81,5.64,5.69,59593600,0.57
12/11/2000,5.81,5.81,5.57,5.61,47737600,0.56
12/13/2000,5.68,5.91,5.63,5.84,55424000,0.59
12/14/2000,5.86,6,5.81,5.94,56918400,0.6
12/15/2000,5.91,5.96,5.82,5.91,29577600,0.59
12/18/2000,5.97,5.99,5.79,5.84,68486400,0.59
12/19/2000,5.84,5.88,5.78,5.78,36204800,0.58
12/20/2000,5.8,5.8,5.66,5.68,36201600,0.57
12/21/2000,5.75,5.75,5.56,5.59,43344000,0.56
12/22/2000,5.59,5.72,5.56,5.62,27811200,0.57
12/26/2000,5.62,5.69,5.59,5.59,10713600,0.56
12/27/2000,5.62,5.7,5.58,5.66,18809600,0.57
12/28/2000,5.64,5.75,5.64,5.72,16169600,0.58
1/2/2001,5.72,5.97,5.72,5.91,32521600,0.59
1/3/2001,5.89,6.21,5.82,6.21,60508800,0.62
1/4/2001,6.22,6.27,6.2,6.24,46118400,0.63
1/5/2001,6.25,6.39,6.16,6.25,41360000,0.63
1/8/2001,6.25,6.29,6.14,6.17,35968000,0.62
1/9/2001,6.25,6.34,6.2,6.3,43475200,0.63
1/10/2001,6.29,6.34,6.2,6.28,39264000,0.63
1/11/2001,6.26,6.39,6.25,6.35,34508800,0.64
1/12/2001,6.38,6.47,6.36,6.39,38777600,0.64
1/15/2001,6.44,6.46,6.38,6.41,9497600,0.64
1/16/2001,6.41,6.6,6.41,6.55,48595200,0.66
1/17/2001,6.62,6.85,6.61,6.68,75100800,0.67
1/18/2001,6.67,6.8,6.62,6.78,39398400,0.68
1/19/2001,6.81,6.94,6.57,6.91,60195200,0.69
1/22/2001,6.88,6.9,6.8,6.82,31462400,0.69
1/23/2001,6.86,7.03,6.85,6.97,44608000,0.7
1/24/2001,6.98,7.04,6.88,6.89,39036800,0.69
1/26/2001,6.88,6.88,6.71,6.79,26076800,0.68
1/29/2001,6.94,6.94,6.7,6.8,26550400,0.68
1/30/2001,6.8,6.86,6.75,6.81,24995200,0.68
1/31/2001,6.81,6.92,6.78,6.81,34620800,0.69
2/1/2001,6.81,6.85,6.68,6.72,43728000,0.68
2/2/2001,6.66,6.79,6.66,6.72,17532800,0.68
2/5/2001,6.72,6.75,6.66,6.7,21875200,0.67
2/6/2001,6.79,6.88,6.7,6.78,25504000,0.68
2/7/2001,6.77,6.81,6.62,6.76,29075200,0.68
2/8/2001,6.86,6.97,6.81,6.96,28233600,0.7
2/9/2001,6.96,7.03,6.91,7,23536000,0.7
2/12/2001,7,7.09,6.94,6.97,18220800,0.7
2/13/2001,6.97,7.12,6.94,7.12,26681600,0.72
2/14/2001,7.07,7.29,7.05,7.28,42454400,0.73
2/15/2001,7.12,7.35,7.12,7.24,37494400,0.73
