Date,Open,High,Low,Close,Volume,Adj Close
9/1/2004,11.88,12.05,11.81,11.88,3089200,2.81
9/2/2004,11.82,12.07,11.7,12.01,3954800,2.84
9/3/2004,12,12.06,11.9,11.93,1524400,2.83
9/6/2004,12.05,12.24,12.05,12.21,1513600,2.89
9/8/2004,12.29,12.38,12.14,12.19,4422800,2.89
9/9/2004,12.14,12.35,12.02,12.15,6160000,2.88
9/10/2004,12.22,12.22,12,12,2494800,2.84
9/13/2004,12,12.27,12,12.08,4179200,2.86
9/14/2004,12.08,12.39,12,12.35,3389200,2.93
9/15/2004,12.4,12.68,12.31,12.5,4300800,2.96
9/16/2004,12.65,12.7,12.43,12.47,5034400,2.96
9/17/2004,12.56,12.87,12.56,12.8,5223200,3.03
9/20/2004,12.95,13,12.76,12.77,3197600,3.03
9/21/2004,12.92,12.92,12.62,12.82,2304400,3.04
9/22/2004,12.88,12.94,12.71,12.8,1991600,3.03
9/23/2004,12.8,12.9,12.65,12.79,2082400,3.03
9/24/2004,12.73,13.05,12.7,12.93,2926800,3.06
9/27/2004,12.96,13.03,12.62,12.62,3808400,2.99
9/28/2004,12.73,13.67,12.6,13.45,5004400,3.19
9/29/2004,13.38,13.9,13.38,13.9,4055200,3.29
9/30/2004,13.93,13.95,13.65,13.7,3672000,3.25
10/1/2004,14.09,14.09,13.7,14.02,3564000,3.32
10/4/2004,14.25,14.38,14.03,14.3,2898800,3.39
10/5/2004,14.28,14.57,14.12,14.55,3289200,3.45
10/6/2004,14.55,14.55,14.11,14.2,3478000,3.37
10/7/2004,14.19,14.19,13.94,14.1,3040000,3.34
10/8/2004,14.13,14.24,13.73,13.75,3266800,3.26
10/11/2004,13.88,14.02,13.65,13.7,1166000,3.25
10/13/2004,13.19,13.41,12.9,13.05,11395600,3.09
10/14/2004,12.88,12.88,12.5,12.71,4607200,3.07
10/15/2004,12.84,13.45,12.84,13.45,5884800,3.25
10/18/2004,13.32,13.6,13.27,13.3,2823600,3.21
10/19/2004,13.35,13.49,12.76,12.85,4799200,3.1
10/20/2004,12.75,12.85,12.6,12.7,3633200,3.07
10/21/2004,12.67,13.24,12.65,13.23,3131200,3.19
10/22/2004,13.35,13.52,12.98,13.1,3184000,3.16
10/25/2004,13.07,13.11,12.84,13.02,1532000,3.14
10/26/2004,13.22,13.38,13.02,13.38,1885600,3.23
10/27/2004,13.38,13.55,13.21,13.38,2037200,3.23
10/28/2004,12.95,13,12.76,12.9,5286400,3.11
10/29/2004,12.97,13.05,12.88,13,2058800,3.14
11/1/2004,13.07,13.1,12.96,13,950400,3.14
11/3/2004,13.03,13.21,12.93,13.1,2686800,3.16
11/4/2004,13.1,13.27,13.07,13.11,2794800,3.17
11/5/2004,13.23,13.48,13.1,13.43,3880000,3.24
11/8/2004,13.43,13.56,13.23,13.28,3383600,3.21
11/9/2004,13.38,13.75,13.25,13.7,2959200,3.31
11/10/2004,13.85,13.99,13.7,13.84,2353200,3.34
11/11/2004,13.82,13.82,13.57,13.68,2423600,3.3
11/12/2004,13.75,14.11,13.7,14.11,4000800,3.41
11/16/2004,14.07,14.07,13.62,13.62,2103200,3.29
11/17/2004,13.77,14.17,13.73,14.17,4356400,3.42
11/18/2004,14.05,14.16,13.7,13.95,2875600,3.37
11/19/2004,14,14.1,13.72,14.1,2612800,3.4
11/22/2004,14.1,14.1,13.81,13.9,2790400,3.36
11/23/2004,13.95,13.99,13.68,13.73,1583200,3.31
11/24/2004,13.81,13.93,13.6,13.82,2834800,3.34
11/25/2004,13.9,13.98,13.8,13.98,1438800,3.38
11/26/2004,13.88,14.2,13.82,14,4198400,3.38
11/29/2004,14.05,14.12,13.82,14,7097200,3.38
11/30/2004,14,14.05,13.94,14,3302000,3.38
12/1/2004,14.11,14.2,13.95,14.02,2940400,3.39
12/2/2004,14.07,14.12,13.74,13.74,3714800,3.32
12/3/2004,13.76,13.98,13.65,13.7,4924000,3.31
12/6/2004,13.75,13.9,13.55,13.7,3977200,3.31
12/7/2004,13.66,13.69,13.45,13.52,6180800,3.27
12/8/2004,13.56,13.74,13.33,13.68,3842000,3.3
12/9/2004,13.75,13.98,13.55,13.93,4088800,3.36
12/10/2004,14.26,14.45,13.88,14.26,4522400,3.44
12/13/2004,14.39,14.58,14.36,14.52,3270800,3.51
12/14/2004,14.6,14.7,14.36,14.7,3653200,3.55
12/15/2004,14.7,14.71,14.4,14.62,7656000,3.53
12/16/2004,14.5,15.07,14.49,14.99,6991200,3.62
12/17/2004,14.98,15.13,14.7,14.91,4756800,3.6
12/20/2004,15,15.01,14.72,14.99,2852400,3.62
12/21/2004,14.92,15.55,14.82,15.5,2385600,3.74
12/22/2004,15.51,15.71,15.34,15.45,2582000,3.73
12/23/2004,15.42,15.69,15.38,15.68,2603600,3.78
12/27/2004,15.68,15.74,15.56,15.62,2400800,3.77
12/28/2004,15.62,16,15.57,15.95,2625600,3.85
12/29/2004,16.02,16.23,15.9,16.03,2368800,3.87
12/30/2004,16.04,16.04,15.75,16.04,1426000,3.87
1/3/2005,16,16.27,15.54,15.65,3040800,3.78
1/4/2005,15.61,15.67,15.12,15.15,3728800,3.66
1/5/2005,15.13,15.25,14.86,14.92,3683200,3.6
1/6/2005,15,15.09,14.5,14.93,3072800,3.6
1/7/2005,15.55,15.68,15.15,15.52,5220800,3.75
1/10/2005,15.52,15.68,15.25,15.37,3088400,3.71
1/11/2005,15.45,15.49,15.14,15.43,2058400,3.72
1/12/2005,15.5,15.64,14.93,15.48,4110800,3.74
1/13/2005,15.62,16.2,15.62,16.17,6467200,3.91
1/14/2005,16,16.85,15.93,16.75,5183200,4.04
1/17/2005,16.75,16.92,16.48,16.62,1736000,4.01
1/18/2005,16.38,16.74,16.13,16.55,4656800,4
1/19/2005,16.55,16.72,16.33,16.42,2368800,3.97
1/20/2005,16.25,16.6,15.82,16.33,4887600,3.94
1/21/2005,16.5,17.16,16.49,16.75,4941600,4.04
1/24/2005,16.87,17.44,16.87,17.3,3776000,4.18
1/26/2005,17.15,17.25,16.87,17.1,2994400,4.13
1/27/2005,17.04,17.04,16.57,16.82,4235600,4.06
1/28/2005,16.88,16.88,16.46,16.58,2829600,4
1/31/2005,16.75,16.77,16.46,16.51,1445600,3.99
2/1/2005,16.6,16.8,16.5,16.66,3490400,4.02
2/2/2005,16.75,16.8,16.51,16.52,4240000,3.99
2/3/2005,16.62,16.62,16.19,16.33,4061600,3.94
2/4/2005,16.46,16.57,16.12,16.33,7990000,3.94
